faculty, name, id ,academicPoints, lectureHours, tutorialHours, labHours, projectHours, examA, examB, prequstite courses, linked courses
Electrical Engineering,Computer Networks and Internet 1,044334,3,0,1,0,0,11.2.2019,10.3.2019,094412|104034,
Electrical Engineering,Electro-Optics 1,044339,3,0,1,0,0,19.2.2019,15.3.2019,044140|114210,
Electrical Engineering,Introductory Project in Elect.,045001,1,0,0,2,0,,,,
Electrical Engineering,Introduction to Organic Mat. and Devices,046012,3,0,1,0,0,,,315030|046241|044127&125001|044127&124408|044125&125001|044125&124408049012,
Electrical Engineering,Introduction to Electric Power Systems and Smart Grids,046042,3,0,1,0,0,5.2.2019,3.3.2019,044130|044131,
Electrical Engineering,Analog Circuit Design,046187,3,0,1,0,0,14.2.2019,13.3.2019,044137|044142,044202
Electrical Engineering,Data Analysis,046193,3,0,1,0,0,5.2.2019,3.3.2019,044130&104034|044131&104034,
Electrical Engineering,Machine Learning,046195,3,0,1,0,0,19.2.2019,15.3.2019,044130&104034|044131&104034036049236756,
Electrical Engineering,Image Processing and Analysis,046200,3,0,1,0,0,31.1.2019,27.2.2019,044198&104034|044198&094412|044198&104222|044198&094411099798236860,
Electrical Engineering,Introduction to Random Signal Processes,046201,3,0,1,0,0,4.2.2019,6.3.2019,044202,044198
Electrical Engineering,Introduction to Coding Theory in Communication,046205,3,0,1,0,0,17.2.2019,14.3.2019,046206,
Electrical Engineering,Introduction to Digital Communication,046206,3,0,1,0,0,17.2.2019,12.3.2019,044202,
Electrical Engineering,Structure of Operating Systems,046209,3,0,2,0,0,1.2.2019,15.3.2019,234122&234262|044101&044262|234124&234252|044262&234122|234124&234262|044101&044252|044262&234124,
Electrical Engineering,Laboratory in Operating Systems,046210,1,0,0,4,0,,,,046209
Electrical Engineering,Physical Principles of Semi Conductor Devices,046225,3,0,1,0,0,10.2.2019,5.3.2019,044127&114073|044125&114073|044127&115203|044125&115203046224,
Electrical Engineering,Integrated Circuits - Introdution to Vlsi,046237,3,0,1,0,0,6.2.2019,7.3.2019,044137|044147,
Electrical Engineering,Quantum Mechanics,046241,3,0,1,0,0,30.1.2019,1.3.2019,044140&114073,
Electrical Engineering,Statistics Physics for Electrical Engineering,046242,3,0,1,0,0,,,104034&114073,044202&114016
Electrical Engineering,Electro-Optic Systems,046249,3,0,1,0,0,5.2.2019,4.3.2019,044148|114210,044339
Electrical Engineering,Antennas and Radiation,046256,3,0,1,0,0,8.2.2019,6.3.2019,044148,
Electrical Engineering,Advanced Circuits and Architectures with Memristors,046265,3,0,1,0,0,5.2.2019,8.3.2019,044105&046237,046267
Electrical Engineering,Formal Languages and Compilation,046266,3,0,1,0,0,19.2.2019,14.3.2019,044101&044262|044101&044252,
Electrical Engineering,Computer Architecture,046267,3,0,1,0,0,7.2.2019,4.3.2019,044101&044262|234122&234262|044101&044252|044252&234122|234124&234262|234124&234252,
Electrical Engineering,Constructive Computer Architecture,046268,3,0,1,0,0,,,046267|234267,
Electrical Engineering,Object-Oriented Programming and Design,046271,3,0,1,0,0,13.2.2019,11.3.2019,044101&044268|044101&234218|234122&234218|044268&234122|234124&234218|044268&234124,
Electrical Engineering,Principles of Reliable Distributed Systems,046272,3,0,1,0,0,3.2.2019,5.3.2019,044268&046209|046209&234218|044268&234123|234123&234218,
Electrical Engineering,Introduction to Biological Signals and Systems,046326,3,0,1,0,0,28.1.2019,1.3.2019,,044202
Electrical Engineering,Visual and Auditory Systems,046332,3,0,1,0,0,7.2.2019,5.3.2019,044130|044131,
Electrical Engineering,Introduction to Fiber Optics Communication,046342,3,0,1,0,0,,,044148046341,
Electrical Engineering,Information Theory,046733,3,0,1,0,0,11.2.2019,10.3.2019,046206048733,
Electrical Engineering,Digital Signal Processing,046745,3,0,1,0,0,15.2.2019,10.3.2019,044198&044202048745,
Electrical Engineering,Electrooptical Semiconductor Detecting Devices,046773,3,0,1,0,0,12.2.2019,10.3.2019,044125|044127,
Electrical Engineering,Advanced Architecture of Micro- Processors" Systems,046853,3,0,1,0,0,10.2.2019,6.3.2019,046267|234267048853,
Electrical Engineering,Logic Design Automation of Vlsi Systems,046880,3,0,1,0,0,18.2.2019,12.3.2019,046237|236354048880,
Electrical Engineering,Rf Cmos Integrated Circuits,046903,3,0,1,0,0,1.2.2019,4.3.2019,044137&044142&044148,
Electrical Engineering,Advanced Topics 4,047003,1,0,0,0,0,,,,
Electrical Engineering,Advanced Topics 5,047004,2,0,0,0,0,,,,
Electrical Engineering,Electrooptics Laboratory 2,048712,2,0,0,0,4,,,,
Electrical Engineering,Advanced Topics in Systems, Learning and Control 1,048715,2,0,0,0,0,,,,
Electrical Engineering,Advanced Topics in Systems, Learning Control 2,048716,2,0,0,0,0,,,,
Electrical Engineering,Biolgical Signals and Systems Laboratory,048747,2,0,0,0,4,,,046326|046332,
Electrical Engineering,Signal Processing Laboratory,048816,2,0,0,0,4,,,046745|048860,
Electrical Engineering,The Hfic Lab,048836,2,0,0,0,4,,,,
Electrical Engineering,Advanced Energy Conversion Laboratory,048852,2,0,0,0,4,,,,
Electrical Engineering,Image Processing,048860,2,0,0,0,0,,,046200,
Electrical Engineering,Developing Topics in Electrical Engineering 1,048870,1,0,2,1,0,,,,
Electrical Engineering,Developing Topics in Electrical Engineering 2,048871,1,0,1,2,0,,,,
Electrical Engineering,Topics in Computer Communication Networks 3,048876,2,0,0,0,0,,,,
Electrical Engineering,Hardware and Software Laboratory,048877,2,0,0,4,0,,,046267|234218,
Electrical Engineering,Seminar in Computer Systems Engineering,048886,2,0,0,0,0,,,046267|234267,049018
Electrical Engineering,Blockchin and Cryptocurrency Protocols,048888,2,0,0,0,0,,,044268,
Electrical Engineering,Advanced Topics in Diffuse Optics Approaches in Biomedical Imaging,048907,2,0,0,0,0,,,044148|114210|336533,
Electrical Engineering,Visual Systems and Image Structure,048921,2,0,0,0,0,,,,
Electrical Engineering,Vision Image Structure and Computer Vision Laboratory,048922,2,0,0,0,4,,,046326|048860|236502,046332&046345&236501
Electrical Engineering,Selected Topics in Electrooptics,048930,2,0,0,0,0,,,,
Electrical Engineering,Communications Laboratory,048933,2,0,0,0,4,,,,
Electrical Engineering,Topics in Signal Processing 3,048939,2,0,0,0,0,,,,
Electrical Engineering,Selected Topics in Computing 1,048961,2,0,0,0,0,,,,
Electrical Engineering,Microelectronics Laboratory,048966,2,0,0,0,4,,,,
Electrical Engineering,Computer Networks Laboratory,048967,2,0,0,0,4,,,,
Electrical Engineering,Laboratory in Parallel Systems,048976,2,0,0,0,4,,,046209&046267,
Electrical Engineering,Seminar 1,048990,3,0,0,0,6,,,,
Electrical Engineering,Seminar 2,048991,3,0,0,0,6,,,048990,
Electrical Engineering,Control Topics Laboratory,049005,2,0,0,0,4,,,,
Electrical Engineering,Electromagnetic Waves Laboratory,049006,2,0,0,0,4,,,044148,
Electrical Engineering,Universal Data Compression,049043,2,0,0,0,0,,,046733048942,
Electrical Engineering,Advanced Topics in Nano-Electronics 1,049050,2,0,0,0,0,,,,
Electrical Engineering,Machine Learning Laboratory,049053,2,0,0,0,4,,,046195,
Electrical Engineering,Nanophotonics,049055,2,0,0,0,0,,,044148&044339|114210&116003|044148&116003|044339&114210048848,
Electrical Engineering,Three Dimensional Imaging and Reconstruction,049062,2,0,0,0,0,,,046200|114210|236873048972,
Electrical Engineering,Variational Methods in Image Processing,049064,2,0,0,0,0,,,046200,
Chemical Engineering,Overview of Chem Biochem Eng,054133,1,0,0,0,0,,,,
Chemical Engineering,Intro. to Chemical and Biochemical Eng.,054135,3,0,2,0,0,18.2.2019,5.3.2019,124120,
Chemical Engineering,Separation Processes 1 Chem-Bioche Eng,054136,3,0,2,0,0,14.2.2019,15.3.2019,014214|054203,
Chemical Engineering,Principles of Chemical Engineering 2M,054306,4,0,2,0,0,28.1.2019,28.2.2019,054203&104131,
Chemical Engineering,Int. to Process Dynamics and Control M,054314,3,0,2,0,0,29.1.2019,28.2.2019,054215&054374&104131|054215&054374&104213,
Chemical Engineering,Thermodynamics B,054315,3,0,2,0,0,3.2.2019,7.3.2019,054215&104131,
Chemical Engineering,Polymers 1,054350,2,0,1,0,0,19.2.2019,14.3.2019,124708|125801,054408
Chemical Engineering,Polymers 2,054351,2,0,1,0,0,18.2.2019,13.3.2019,054203,
Chemical Engineering,Research Project 1,054367,2,0,0,8,0,,,054203,
Chemical Engineering,Research Project 2,054368,2,0,0,8,0,,,054367,
Chemical Engineering,Polymer Engineering Laboratory,054369,2,0,0,6,0,,,054350|054351,
Chemical Engineering,Int. Solid State Chemistry for Engineers,054373,2,0,1,0,0,31.1.2019,3.3.2019,054215&114052058185,
Chemical Engineering,Chemical Engineering Laboratory 2,054400,2,0,0,3,0,,,054305&054310&054408&054409|054308&054310&054408&054409,
Chemical Engineering,Senior Thesis 1,054406,3,0,0,8,0,,,054305|054308054363,
Chemical Engineering,Senior Thesis 2,054407,3,0,0,8,0,,,054406,
Chemical Engineering,Biochemical Engineering,054412,3,0,1,0,0,,,054408,
Chemical Engineering,Integrated Chemical Process Design,054416,4,0,2,0,5,6.2.2019,10.3.2019,054215&054305&054330&054408|054308&054315&054330&054408054401054402,
Chemical Engineering,Int.to Chemical and Biochemcal Reactors" Design,054419,4,0,2,0,0,10.2.2019,12.3.2019,054203&054215&124114|014211&054215&124114,054403&124414
Chemical Engineering,Chemical Engineering Laboratory 2 Bc,054420,1,0,0,4,0,,,054203&054305&054306&054408&054409|054203&054306&054308&054408&054409,
Chemical Engineering,Environmental Engineering-Air Pollution,054452,2,0,1,0,0,12.2.2019,4.3.2019,,014211&054203
Chemical Engineering,Electron Microscopy in Chemical Engineering,056120,2,0,0,0,0,,,,
Chemical Engineering,Selected Engineering Subjects,056146,2,0,0,0,0,,,,
Chemical Engineering,Selected Engineering Issues 2,056386,2,0,0,0,0,,,,
Chemical Engineering,Odor Fingerprints# Introduction and Applications,056394,2,0,0,0,0,,,125001&134058|124117&124120|124120&134058,
Chemical Engineering,Colloids,056396,2,0,1,0,0,,,054203&054315,
Chemical Engineering,Membranes Principles and Materials,056397,2,0,1,0,0,,,054306|054315,
Chemical Engineering,Transport Phenomena - Fluid Flow,058127,2,0,1,0,0,,,054305,
Chemical Engineering,Polymer Processing,058162,2,0,0,0,0,10.2.2019,,058180,
Chemical Engineering,Advanced Seminar in Chemical Engineering,058174,6,0,0,0,6,,,,
Chemical Engineering,Mathematical Methods in Chemical Engineering,058177,3,0,1,0,0,,,,
Chemical Engineering,Polymer Characterization Laboratory,058184,2,0,0,6,0,,,054351|127724|315721,
Biotechnology and Food Engineering,Undergraduate Research 1,064001,4,0,0,8,0,,,,064238&064324&064007
Biotechnology and Food Engineering,Undergraduate Research 2,064002,4,0,0,8,0,,,064001,
Biotechnology and Food Engineering,Practice in Food Industry,064003,1,0,0,0,1,,,064238064004,
Biotechnology and Food Engineering,Special Project,064005,1,0,0,0,1,,,,
Biotechnology and Food Engineering,Thermodynamics in Biotechnology and Food Engineering,064106,4,0,2,0,0,10.2.2019,3.3.2019,114051&124503,064117
Biotechnology and Food Engineering,Heat Transfer Phenomena,064117,3,0,2,0,0,19.2.2019,11.3.2019,064115&104228,
Biotechnology and Food Engineering,Food Plant Design,064119,2,0,2,0,0,,,064239,
Biotechnology and Food Engineering,Selected Topics in Food Technology a,064210,2,0,0,0,0,11.2.2019,5.3.2019,064322,
Biotechnology and Food Engineering,Food Technology,064212,2,0,0,0,0,7.2.2019,4.3.2019,064522,
Biotechnology and Food Engineering,Bioprocess and Food Process Eng. Lab.,064239,2,0,0,5,0,,,064115&064117&064118,
Biotechnology and Food Engineering,Food Analysis,064324,3,0,2,0,0,29.1.2019,14.3.2019,064322,
Biotechnology and Food Engineering,Food, Biological Material Analyses Lab,064326,2,0,1,5,0,,,064322&064325,064324
Biotechnology and Food Engineering,Standardization Conspectus,064331,1,0,0,0,0,,,,
Biotechnology and Food Engineering,Food Microbiology,064405,4,0,0,3,0,14.2.2019,6.3.2019,064413&064419,
Biotechnology and Food Engineering,Molecular Biotechnology,064507,3,0,1,0,0,4.2.2019,27.2.2019,064322&064419&064523|134019&134113,
Biotechnology and Food Engineering,Process Biotechnology,064509,3,0,1,0,0,14.2.2019,10.3.2019,064115&064419,
Biotechnology and Food Engineering,Introduction to Biotechnology and Food Engineering,064522,2,0,2,0,0,,,,134058&064519
Biotechnology and Food Engineering,Introduction to Molecular Biotechnology,064523,2,0,1,0,0,17.2.2019,10.3.2019,125801&134019&134058,
Biotechnology and Food Engineering,Nutrition,064603,3,0,2,0,0,7.2.2019,28.2.2019,064322,
Biotechnology and Food Engineering,Advanced Project in Biotechnology and Food Engineering 2,066013,3,0,0,0,6,,,066012,
Biotechnology and Food Engineering,Packaging of Food, Drugs and Biological Products,066217,3,0,1,1,0,17.2.2019,13.3.2019,064238,
Biotechnology and Food Engineering,Technology of Winemaking,066226,2,0,0,0,0,30.1.2019,27.2.2019,064322&125801,
Biotechnology and Food Engineering,Advanced Materials for Biotechnolgy and Food,066247,2,0,0,0,0,19.2.2019,12.3.2019,125801,
Biotechnology and Food Engineering,Microbiology of Pathogens,066418,2,0,0,0,0,,,064507|064509|064405&064419&134082&134121,
Biotechnology and Food Engineering,Biotechnology Enterprise,066525,2,0,0,0,1,,,,
Biotechnology and Food Engineering,Synthetic Biology,066526,3,0,2,4,0,,,064523&234127,
Biotechnology and Food Engineering,Functional Food, Nutraceuticals and Food Additives,066613,2,0,0,0,0,3.2.2019,4.3.2019,064322,
Aerospace Engineering,Experimental Methods in Aerospace Eng.,084154,2,0,0,3,0,,,084311,
Aerospace Engineering,Thermodynamics,084213,4,0,2,0,0,29.1.2019,27.2.2019,104022,
Aerospace Engineering,Flight Mechanics 1,084220,2,0,1,0,0,4.2.2019,27.2.2019,084225&084311,
Aerospace Engineering,Dynamics,084225,4,0,2,0,0,11.2.2019,15.3.2019,084505&104019&104022&114051,
Aerospace Engineering,Incompressible Aerodynamics,084311,3,0,1,0,0,31.1.2019,5.3.2019,104215&104228&114051,
Aerospace Engineering,Compressible Flow, Inlets and Nozzles,084312,2,0,1,1,0,19.2.2019,14.3.2019,084213&084311,
Aerospace Engineering,Viscous Flow and Heat Transfer,084314,3,0,1,1,0,8.2.2019,3.3.2019,084311,
Aerospace Engineering,Aerospace Engineering Design and Manufacturing,084640,4,0,1,3,0,28.1.2019,8.3.2019,084155&084513&094411&314200,
Aerospace Engineering,Design Project 51,084651,3,0,1,0,0,,,084220&084402&084636&084738&084913|084220&084401&084636&084738&084913,084221
Aerospace Engineering,Design Project 53,084653,3,0,1,0,0,,,084143&084221&084401&084636&084738|084143&084404&084636&084738&084913,
Aerospace Engineering,Design Project 55,084655,3,0,1,0,0,,,084220&084402&084636&084735|084220&084401&084636&084735&084913,084221
Aerospace Engineering,Design Project 57,084657,3,0,1,0,0,,,084220&084402&084636&084735|084220&084401&084636&084735&084913,084221
Aerospace Engineering,Design Project 59,084659,3,0,1,0,0,,,084220&084402&084636&084735|084220&084401&084636&084735&084913,084221
Aerospace Engineering,Design Project 61,084661,3,0,1,0,0,,,084220&084401&084402&084512&084636&084735&084913,
Aerospace Engineering,Design Project 63,084663,3,0,1,0,0,,,084142&084220&084401&084402&084512&084636&084735&084913,
Aerospace Engineering,Design Project 65,084665,3,0,1,0,0,,,084220&084401&084402&084512&084636&084735&084913,
Aerospace Engineering,Design Project 67,084667,3,0,1,0,0,,,084220&084401&084402&084512&084636&084735&084913,
Aerospace Engineering,Design Project 69,084669,3,0,1,0,0,,,084220&084402&084636&084735|084220&084401&084636&084735&084913,084221
Aerospace Engineering,Control Theory,084738,3,0,1,1,0,13.2.2019,11.3.2019,084737,
Aerospace Engineering,Model Airplane Construction 1,085101,1,0,0,2,0,,,,
Aerospace Engineering,Model Airplane Construction 2,085102,1,0,0,2,0,,,,
Aerospace Engineering,Laboratory Project,085156,2,0,0,3,0,,,,
Aerospace Engineering,Experimental Methods in Aerodynamics,085305,2,0,0,2,0,,,084154,
Aerospace Engineering,Workshop in Computational Aerodynamics,085326,1,0,0,2,0,,,,086376
Aerospace Engineering,Rocket and Jet Propulsion Lab,085405,2,0,0,2,0,,,084154&084401&084404,
Aerospace Engineering,Experimental Methods in Aero. Structures,085505,2,0,0,2,0,,,084154&084512|084154&084515,
Aerospace Engineering,Integrated Logistics Support,085640,2,0,0,0,0,13.2.2019,6.3.2019,084143,
Aerospace Engineering,Special Design Project 1,085681,3,0,0,0,3,,,084311&084515,
Aerospace Engineering,Preliminary Design of Aircraft,085695,3,0,0,0,0,,,084220,084221
Aerospace Engineering,Seminar in Aerodynamics,085801,1,0,2,0,0,,,084312&084314,
Aerospace Engineering,Seminar in Propulsion,085803,1,0,2,0,0,,,084401&084404|085406&085407,
Aerospace Engineering,Seminar in Control,085804,1,0,2,0,0,,,084738,
Aerospace Engineering,Selected Topics in Aerospace Engi. 1,085821,2,0,0,0,0,,,,
Aerospace Engineering,Research Project 1,085851,3,0,0,0,3,,,,
Aerospace Engineering,Research Project 2,085852,3,0,0,0,3,,,085851,
Aerospace Engineering,Space Mechanics,086287,3,0,0,0,0,10.2.2019,12.3.2019,084225&084913,
Aerospace Engineering,Advanced Problems in Aerodynamics,086311,3,0,0,0,0,,,084312&084313,
Aerospace Engineering,Heat Transfer in Aerospace Engineering,086320,3,0,0,0,0,18.2.2019,15.3.2019,084314,
Aerospace Engineering,Introduction to Turbulent Flow,086366,3,0,0,0,0,,,084314,
Aerospace Engineering,Computational Aerodynamcis,086376,3,0,0,0,0,,,084312&085135,
Aerospace Engineering,Aerodynamics of Wings and Bodies,086389,3,0,0,0,0,6.2.2019,4.3.2019,084312,
Aerospace Engineering,The Ramjet Engine,086414,3,0,0,0,0,30.1.2019,14.3.2019,084314&084402,
Aerospace Engineering,Introduction to Supersonic Combustion,086470,3,0,0,0,2,14.2.2019,11.3.2019,084402|084404,
Aerospace Engineering,Dynamics of Structures,086577,3,0,0,0,0,28.1.2019,27.2.2019,084515&084737|084513&084737,
Aerospace Engineering,Servo Systems Design,086650,2,0,0,0,0,30.1.2019,5.3.2019,044098&084314&084738,
Aerospace Engineering,Random Processes in Aerospace Systems,086733,3,0,0,0,0,12.2.2019,3.3.2019,084730&104034,
Aerospace Engineering,B Dynamics and Control of Flight Vehicles,086755,3,0,1,0,0,15.2.2019,13.3.2019,084735|084738,
Aerospace Engineering,Principles of Guidance and Homing,086760,3,0,0,0,0,28.1.2019,27.2.2019,084735|084738,
Aerospace Engineering,Vision-Aided Navigation,086761,3,0,0,0,0,4.2.2019,10.3.2019,086777&094417|086777&104034,
Aerospace Engineering,Intelligent Structural Systems,086901,3,0,0,0,0,1.2.2019,1.3.2019,084225&084512,
Aerospace Engineering,Fundamentals of Aerospace Plasma Engineering,086924,3,0,0,0,0,17.2.2019,10.3.2019,084213&114054,
Aerospace Engineering,Dynamics and Combustion of Sprays of Liquid Fuels,088413,2,0,0,0,0,,,084213&084312,
Aerospace Engineering,Initial and Boundary Problems in Finite Elements Method,088504,3,0,0,0,0,,,,
Aerospace Engineering,Distributed Spacecraft Systems,088900,3,0,0,0,0,18.2.2019,,,
Industrial Engineering,Intro.to Industrial Eng. and Management,094101,2,0,1,0,0,12.2.2019,8.3.2019,,
Industrial Engineering,Manage. Logist. System.,094139,3,0,1,0,0,11.2.2019,6.3.2019,094313&094411|094313&094412,094314
Industrial Engineering,Products Design and Prod. and Ser. Sys.,094141,3,0,1,0,0,10.2.2019,13.3.2019,094100,094313&094411
Industrial Engineering,Operation of Production Service Systems,094142,3,0,1,0,0,28.1.2019,3.3.2019,094139&094141&094334,
Industrial Engineering,Design Project Proposal Development in Ind. Eng.,094189,1,0,0,0,6,,,094222,094142&095140
Industrial Engineering,Design Project 1,094195,3,0,0,0,6,,,094189,
Industrial Engineering,Semester Research Project,094197,3,0,0,0,6,,,,
Industrial Engineering,Case Studies in Industrial Engineering,094198,3,0,2,0,0,,,094139&094142,
Industrial Engineering,Semesterial Project 2,094199,3,0,0,0,6,,,094197,
Industrial Engineering,Distributed Data and Rational Agents,094204,3,0,1,0,0,11.2.2019,7.3.2019,094323&094411|094201,
Industrial Engineering,Software Engineering,094219,3,0,0,2,0,28.1.2019,8.3.2019,234111|234114,
Industrial Engineering,Specification and Analysis of Information Systems,094222,3,0,0,2,0,,,094219|234122,
Industrial Engineering,Data Structures and Algorithms,094224,4,0,2,0,0,19.2.2019,15.3.2019,094344&234122|044101&094344|094219&094344,
Industrial Engineering,Database Management,094241,3,0,1,1,0,28.1.2019,10.3.2019,234292|094219&094345|094201&094345,
Industrial Engineering,Deterministic Models in Oper.Research,094313,3,0,1,0,0,3.2.2019,10.3.2019,104009&234111|104167&234111,
Industrial Engineering,Stochastic Models in Oper.Research,094314,3,0,1,0,0,5.2.2019,12.3.2019,094344&094411&104009&234111|094344&094412&104167&234114,094423
Industrial Engineering,Dynamic Models in Operations Research,094333,3,0,1,0,0,14.2.2019,7.3.2019,094344&104019&104020,094313
Industrial Engineering,Digital Simulation,094334,3,0,2,1,0,1.2.2019,3.3.2019,094314&094344&094423,
Industrial Engineering,Discrete Mathematics (for I.E),094345,4,0,2,0,0,14.2.2019,15.3.2019,,
Industrial Engineering,Probability (Ie),094411,4,0,2,0,0,7.2.2019,5.3.2019,104022|104020,
Industrial Engineering,Probability (Advanced),094412,4,0,2,0,0,7.2.2019,5.3.2019,104020|104022|104032,
Industrial Engineering,Introduction to Statistics,094423,3,0,1,0,0,14.2.2019,7.3.2019,094411|094412|104034,
Industrial Engineering,Int.to Probability and Statistics,094481,4,0,2,0,0,29.1.2019,4.3.2019,104004|104013|104022,
Industrial Engineering,Microeconomics 2,094504,3,0,1,0,0,28.1.2019,27.2.2019,094503,
Industrial Engineering,Macroeconomics,094513,3,0,1,0,0,29.1.2019,28.2.2019,094511|094591&104005&104010,
Industrial Engineering,Workshop in Smes 1,094520,1,0,1,0,1,,,,
Industrial Engineering,Introduction to Financial Management,094564,2,0,1,0,0,28.1.2019,10.3.2019,094411|094412&094591|094501&094511,
Industrial Engineering,Introductory Economics,094591,3,0,1,0,0,11.2.2019,6.3.2019,104003|104010,
Industrial Engineering,Principles of Economics for Engineers,094594,3,0,1,0,0,3.2.2019,5.3.2019,104012|104017,
Industrial Engineering,Legal and Financial Aspects of Technology Enterpreneurship,094814,2,0,1,0,0,31.1.2019,3.3.2019,,
Industrial Engineering,Introduction to Accounting,094820,2,0,0,0,0,19.2.2019,11.3.2019,,094591
Industrial Engineering,Advanced Managerial Accounting,094822,2,0,1,0,0,5.2.2019,4.3.2019,094821,
Industrial Engineering,Industrial Management Game,094851,3,0,0,0,0,,,094314&094831,
Industrial Engineering,Performance Measurement and Methods Impr,095112,3,0,1,0,0,13.2.2019,12.3.2019,094141&094423,096620
Industrial Engineering,Quality, Productivity and Maintenance,095113,3,0,1,0,0,3.2.2019,5.3.2019,094139,
Industrial Engineering,Project Planning and Management,095140,3,0,1,0,0,3.2.2019,27.2.2019,094313&094314|104034&236330,
Industrial Engineering,Algebraic Methods for Data Science,095295,3,0,1,0,0,3.2.2019,27.2.2019,094345&104032&104166&234117|094345&104019&104020&234111,094223&094412
Industrial Engineering,Standardization Systems,095420,1,0,0,0,0,,,,
Industrial Engineering,Introduction to Psychology,095605,2,0,1,0,0,6.2.2019,6.3.2019,094423,
Industrial Engineering,Quality Engineering,096120,3,0,1,0,0,28.1.2019,27.2.2019,094423,
Industrial Engineering,Des. for Manufacturability and Assembly,096124,3,0,1,0,0,6.2.2019,8.3.2019,094423&096414,
Industrial Engineering,Applied Quality Assurance,096125,2,0,1,0,0,,,096414,
Industrial Engineering,Foundations and Applications of Artificial Intelligence,096210,3,0,1,0,0,19.2.2019,15.3.2019,234247|094223,
Industrial Engineering,Electronic Commerce Models,096211,3,0,1,0,0,19.2.2019,15.3.2019,094223&094591|094591|094591&234247|094223|234247|094594,
Industrial Engineering,Full Stack Web Development,096255,3,0,0,0,4,,,094222,
Industrial Engineering,Advanced Topic in Information Systems,096260,3,0,1,0,0,,,,
Industrial Engineering,Information Retrieval,096262,3,0,1,0,0,29.1.2019,1.3.2019,094219&094411&104009|094219&094412&104167,
Industrial Engineering,User Experience in Interactive Systems,096266,3,0,1,0,0,,,096620,
Industrial Engineering,The Human Factor in Data Collection,096275,3,0,1,1,1,7.2.2019,7.3.2019,094201|094219,
Industrial Engineering,Selected Topics in Data Science,096290,2,0,1,0,0,,,094201|096411|094223,
Industrial Engineering,Applied Stochastic Processes,096310,2,0,1,0,0,19.2.2019,15.3.2019,094314|094412|104222,
Industrial Engineering,Statisticqal Learning with Data,096411,3,0,1,0,0,12.2.2019,3.3.2019,094423,
Industrial Engineering,Industrial Statistics,096414,3,0,1,0,0,19.2.2019,15.3.2019,094423|094480,
Industrial Engineering,Economics of the Service Sector,096537,3,0,0,0,0,5.2.2019,4.3.2019,094501&094591,
Industrial Engineering,Environmental Economics,096553,2,0,1,0,0,13.2.2019,27.2.2019,094503|094591|094594|096520|207804,
Industrial Engineering,Options Markets,096556,2,0,1,0,0,14.2.2019,28.2.2019,094564098778,
Industrial Engineering,Auction Theory,096573,2,0,1,0,0,,,096570|096575098517,
Industrial Engineering,Non-Cooperative Games,096575,3,0,1,0,0,12.2.2019,11.3.2019,094323&094411|094323&094412,
Industrial Engineering,Learning and Complexity in Game Theory,096576,2,0,0,0,0,,,096570|096575|094411&106173|094412&106173|104034&106173,
Industrial Engineering,Selected Topics in Financial Engineering,096580,2,0,0,0,0,,,096425|096586,
Industrial Engineering,Econometrics,096586,3,0,1,0,0,1.2.2019,7.3.2019,094423&094504,
Industrial Engineering,Organizational Behavior,096600,3,0,1,0,0,13.2.2019,11.3.2019,095605090056,
Industrial Engineering,Selected Topics in Organizational Behavior,096602,2,0,1,0,0,,,095605,
Industrial Engineering,Cognition and Decision Making,096617,2,0,1,0,0,29.1.2019,28.2.2019,094423&095605,
Industrial Engineering,Introduction to Human Factors Engineering,096620,3,0,1,0,0,7.2.2019,7.3.2019,094423&095605|094423&095605,
Industrial Engineering,Training of Skills,096631,2,0,0,0,0,,,094423|094480|095605099631,
Industrial Engineering,Social Ventures,096807,3,0,1,0,0,,,,
Industrial Engineering,Entrepreneurship and Intellectual Property,096815,3,0,0,0,0,,,,
Industrial Engineering,Reliability Management,097122,3,0,1,0,0,10.2.2019,8.3.2019,094423|096414,
Industrial Engineering,Multidisciplinary Research in Service Engineering,097135,3,0,1,0,2,,,096324,
Industrial Engineering,Facilities Design,097151,3,0,1,0,0,8.2.2019,8.3.2019,094139|094334,
Industrial Engineering,Deep Learning,097200,3,0,2,0,3,18.2.2019,4.3.2019,094411&094423|094412&234218,
Industrial Engineering,Natural Language Processing,097215,3,0,1,0,0,,,094411&094423|094412&234218,
Industrial Engineering,Selected Topics in Information Technologies,097260,2,0,1,0,0,,,094222,
Industrial Engineering,Cooperative Game Theory,097317,2,0,1,0,0,28.1.2019,5.3.2019,094412&104009,094313
Industrial Engineering,Marketing Principles,097800,3,0,1,0,0,1.2.2019,27.2.2019,094423&094594|094423&094591,
Industrial Engineering,Research Seminar in Industrial Engineering,098113,3,0,0,0,0,,,,
Industrial Engineering,Optimization 1,098311,3,0,1,0,0,,,094313097311,
Industrial Engineering,Linear and Combinatorial Programming,098331,3,0,1,0,0,,,094313,
Industrial Engineering,Theory of Probability,098416,3,0,0,0,0,,,094412|104222,
Industrial Engineering,Selected Topics in Statistical Inference,098436,3,0,0,0,0,,,098414,
Industrial Engineering,Applied Multivariate Analysis,098460,3,0,1,0,0,,,098459,
Industrial Engineering,Data Collection and Research in the Behavioral Sciences,098603,2,0,1,0,0,,,096676,
Industrial Engineering,Consumer Psychology Seminar,098663,2,0,0,0,1,,,095605|097800,
Industrial Engineering,Advance Seminar in Psychological Research,099601,2,0,0,0,2,,,095605,
